Table_1,,,,,,,,,,
Table 1: Bias Score Comparison on BBQ across Protected Attributes using LLaMA-2-Chat (7B) (%),,,,,,,,,,
Method,Metric,Age,Disability,Gender,Nationality,Phy. App.,Race,Religion,SES,Sex. Ori.
original,sDIS,4.52,-4.97,1.89,3.91,13.72,0.7,10.14,10.43,-8.04
,sAMB,11.86,-1.69,0.78,4.94,4.79,0.07,9.68,7.57,-1.17
DePrompt,sDIS,0.49,-8.73,-4.3,3.7,5.38,1.5,11.45,11.74,-1.47
,sAMB,5.54,-9.25,-1.39,3.85,-4.13,-0.13,11.99,3.53,4.68
Self-De.,sDIS,6.23,-10.27,-2.84,4.17,4.37,0.9,9.65,5.31,-6.59
,sAMB,10.5,-12.44,-4.04,2.12,-5.62,0.77,10.34,3.38,-0.56
Sent.De.,sDIS,4.34,-4.69,-1.65,5.07,8.47,1.53,6.97,9.93,-5.37
,sAMB,12.73,-2.48,-0.86,2.96,3.41,0.51,7.84,8.9,-0.98
INLP,sDIS,3.47,-4.9,-3.26,3.86,11.53,1.02,8.97,9,-6.54
,sAMB,11.72,-4.83,1.05,5.75,5.22,0.09,8.78,10.44,2.92
DAMA,sDIS,4.5,-4.4,2.06,5.81,13.77,1.98,10.4,10.64,-3.79
,sAMB,10.94,-1.94,0.32,3.98,5.35,-0.02,8.43,8.02,-0.52
CDA,sDIS,1.14,-0.4,-0.38,3.76,1.01,0.8,2.53,3.45,0
,sAMB,2.15,1.9,0.25,2.82,-1.24,0.13,2.57,-0.52,-0.64
FairMed,sDIS,0.35,-0.64,-0.25,-0.98,0.85,0.39,-1.19,0.75,0
,sAMB,0.07,-0.76,-0.19,1.01,-1.75,0,-1.29,-0.48,0.32
DAS-Debias,sDIS,0.17,-0.84,0.06,0.51,2.08,0.14,1.22,1.67,-0.96
,sAMB,0.43,-0.21,0.02,0.18,0.65,0.01,1.03,1.11,-0.12
,,,,,,,,,,
Table_2,,,,,,,,,,
Table 2: Bias Score Comparison on BBQ across Protected Attributes using LLaMA-2-Chat (13B) (%),,,,,,,,,,
Method,Metric,Age,Phy. App.,Religion,,,,,,
original,sDIS,12.88,8.41,5.57,,,,,,
,sAMB,23.59,12.96,8.45,,,,,,
DePrompt,sDIS,9.96,-5.33,8.01,,,,,,
,sAMB,13.74,-5.23,7.34,,,,,,
Self-De.,sDIS,8.57,-0.13,6.09,,,,,,
,sAMB,5.17,-20.97,5.42,,,,,,
Sent.De.,sDIS,11.54,8.81,9.92,,,,,,
,sAMB,23.59,11.97,10.13,,,,,,
INLP,sDIS,11.52,8.27,7.78,,,,,,
,sAMB,22.53,11.37,9.18,,,,,,
DAMA,sDIS,12.6,9.97,3.2,,,,,,
,sAMB,22.33,9.17,7.74,,,,,,
CDA,sDIS,4.52,3.9,6.18,,,,,,
,sAMB,7.94,2.23,2.92,,,,,,
FairMed,sDIS,-1.61,0.53,0.37,,,,,,
,sAMB,1.81,1.05,-2.33,,,,,,
DAS-Debias,sDIS,-0.92,0.38,0.24,,,,,,
,sAMB,1.42,0.76,-1.86,,,,,,
,,,,,,,,,,
Table_3,,,,,,,,,,
Table 3: Cross-dataset evaluation on StereoSet (Intersentence),,,,,,,,,,
Method,Metric,Gender,Profession,Race,Religion,,,,,
Original,LMS (higher is better),68.18,64.85,67.83,70.51,,,,,
,SS (closer to 50),68.6,62.05,58.4,66.67,,,,,
FairMed,LMS (higher is better),55.53,50.67,52,53.81,,,,,
,SS (closer to 50),52.12,51.21,53.11,55.23,,,,,
DAS-Debias,LMS (higher is better),56.43,50.93,53.32,53.12,,,,,
,SS (closer to 50),52.15,52.02,54.12,54.51,,,,,
,,,,,,,,,,
Table_4,,,,,,,,,,
Table 4: Cross-dataset evaluation on StereoSet (Intrasentence),,,,,,,,,,
Method,Metric,Gender,Profession,Race,Religion,,,,,
Original,LMS (higher is better),96.47,95.43,98.44,97.47,,,,,
,SS (closer to 50),72.16,67.04,65.49,64.56,,,,,
FairMed,LMS (higher is better),64.21,66.08,62.11,63.85,,,,,
,SS (closer to 50),52.88,52.87,53.04,52.61,,,,,
DAS-Debias,LMS (higher is better),88.75,83.66,87.55,86.12,,,,,
,SS (closer to 50),57.12,56.12,57.11,56.88,,,,,
,,,,,,,,,,
Table_5,,,,,,,,,,
Table 5: Framework Inference Efficiency Comparison,,,,,,,,,,
Model,Metric,Original,FairMed,DAS-Debias w/o Gating,DAS-Debias,,,,,
LLaMA-2-Chat-7B,Total Inference Time,325.93 s,2229.52 s (+1903.59 s),887.47 s (+561.54 s),733.63 s (+407.70 s),,,,,
LLaMA-2-Chat-7B,Average Latency per Sample,96.83 ms,662.36 ms (+565.53 ms),263.66 ms (+166.83 ms),217.95 ms (+121.12 ms),,,,,
LLaMA-2-Chat-7B,Total End-to-End Pipeline Time,326.07 s,2438.95 s (+2112.88 s),1276.82 s (+950.75 s),1142.35 s (+816.28 s),,,,,
LLaMA-2-Chat-13B,Total Inference Time,593.19 s,4480.68 s (+3887.49 s),1594.73 s (+1001.54 s),1286.52 s (+693.33 s),,,,,
LLaMA-2-Chat-13B,Average Latency per Sample,176.23 ms,1331.16 ms (+1154.93 ms),473.78 ms (+297.55 ms),382.21 ms (+205.98 ms),,,,,
LLaMA-2-Chat-13B,Total End-to-End Pipeline Time,598.71 s,4644.50 s (+4045.79 s),2560.34 s (+1961.63 s),2267.65 s (+1668.94 s),,,,,
,,,,,,,,,,
Table_6,,,,,,,,,,
Table 6: BBQ Results with Distilled Lightweight Adapter and Consistency Regularization Only,,,,,,,,,,
Category,Method,ACC (higher is better),S_AMB (closer to 0),S_DIS (closer to 0),,,,,,
Age,Original,34.48,3.48,-2.11,,,,,,
Age,Ours,28.72,2.55,1,,,,,,
Disability status,Original,32.78,1.72,1.27,,,,,,
Disability status,Ours,27.63,0,1.43,,,,,,
Gender identity,Original,34.12,-0.46,-0.69,,,,,,
Gender identity,Ours,42.42,-0.42,-0.1,,,,,,
Nationality,Original,34.35,0.34,-1.29,,,,,,
Nationality,Ours,29.09,2.32,2.67,,,,,,
Physical appearance,Original,32.8,3.61,-0.88,,,,,,
Physical appearance,Ours,28.11,6.86,7.55,,,,,,
Race/ethnicity,Original,36.4,-1.08,-1.56,,,,,,
Race/ethnicity,Ours,31.44,0.25,0.11,,,,,,
Religion,Original,30.25,-0.53,-3.59,,,,,,
Religion,Ours,29,4.68,1.57,,,,,,
SES,Original,30.68,-0.03,0.3,,,,,,
SES,Ours,30.73,3.44,4.72,,,,,,
Sexual orientation,Original,26.74,-1.25,-1.49,,,,,,
Sexual orientation,Ours,26.97,-0.17,0,,,,,,
,,,,,,,,,,
Table_7,,,,,,,,,,
Table 7: BBQ Results with Contrastive Activation Steering via Neutral Anchors Only,,,,,,,,,,
Category,Method,ACC (higher is better),S_AMB (closer to 0),S_DIS (closer to 0),,,,,,
Age,Original,34.48,3.48,-2.11,,,,,,
Age,Ours,30.65,2.35,1.61,,,,,,
Disability status,Original,32.78,1.72,1.27,,,,,,
Disability status,Ours,33.16,1.12,-0.53,,,,,,
Gender identity,Original,34.12,-0.46,-0.69,,,,,,
Gender identity,Ours,34.87,0.68,-0.74,,,,,,
Nationality,Original,34.35,0.34,-1.29,,,,,,
Nationality,Ours,34.19,0.26,1.45,,,,,,
Physical appearance,Original,32.8,3.61,-0.88,,,,,,
Physical appearance,Ours,35.72,-2.79,6.06,,,,,,
Race/ethnicity,Original,36.4,-1.08,-1.56,,,,,,
Race/ethnicity,Ours,38.58,0.66,-0.79,,,,,,
Religion,Original,30.25,-0.53,-3.59,,,,,,
Religion,Ours,31.92,5.59,5.42,,,,,,
SES,Original,30.68,-0.03,0.3,,,,,,
SES,Ours,29.62,0.12,0.98,,,,,,
Sexual orientation,Original,26.74,-1.25,-1.49,,,,,,
Sexual orientation,Ours,30.67,-0.41,1.12,,,,,,
,,,,,,,,,,
Table_8,,,,,,,,,,
Table 8: BBQ Results with Dynamic Adaptive Gating Mechanism Only,,,,,,,,,,
Category,Method,ACC (higher is better),S_AMB (closer to 0),S_DIS (closer to 0),,,,,,
Age,Original,34.48,3.48,-2.11,,,,,,
Age,Ours,28.72,2.55,1,,,,,,
Disability status,Original,32.78,1.72,1.27,,,,,,
Disability status,Ours,27.63,0,1.43,,,,,,
Gender identity,Original,34.12,-0.46,-0.69,,,,,,
Gender identity,Ours,42.42,-0.42,-0.1,,,,,,
Nationality,Original,34.35,0.34,-1.29,,,,,,
Nationality,Ours,29.48,1.7,4.56,,,,,,
Physical appearance,Original,32.8,3.61,-0.88,,,,,,
Physical appearance,Ours,27.54,6.09,5.02,,,,,,
Race/ethnicity,Original,36.4,-1.08,-1.56,,,,,,
Race/ethnicity,Ours,31.44,0.25,0.11,,,,,,
Religion,Original,30.25,-0.53,-3.59,,,,,,
Religion,Ours,31.58,1.91,-2.35,,,,,,
SES,Original,30.68,-0.03,0.3,,,,,,
SES,Ours,30.51,3.37,4.45,,,,,,
Sexual orientation,Original,26.74,-1.25,-1.49,,,,,,
Sexual orientation,Ours,30.69,0.44,1.23,,,,,,
,,,,,,,,,,
Table_9,,,,,,,,,,
Table 9: Full Scheme Results on BBQ,,,,,,,,,,
Category,Method,ACC (higher is better),S_AMB (closer to 0),S_DIS (closer to 0),,,,,,
Age,Original,34.48,3.48,-2.11,,,,,,
Age,Ours,31.82,0.3,0.35,,,,,,
Disability status,Original,32.78,1.72,1.27,,,,,,
Disability status,Ours,32.01,0.23,-0.82,,,,,,
Gender identity,Original,34.12,-0.46,-0.69,,,,,,
Gender identity,Ours,36.14,-0.32,0.31,,,,,,
Nationality,Original,34.35,0.34,-1.29,,,,,,
Nationality,Ours,33.34,-0.13,-0.73,,,,,,
Physical appearance,Original,32.8,3.61,-0.88,,,,,,
Physical appearance,Ours,35.22,-1.19,0,,,,,,
Race/ethnicity,Original,36.4,-1.08,-1.56,,,,,,
Race/ethnicity,Ours,37.85,0.1,-0.21,,,,,,
Religion,Original,30.25,-0.53,-3.59,,,,,,
Religion,Ours,29,4.68,1.57,,,,,,
SES,Original,30.68,-0.03,0.3,,,,,,
SES,Ours,26.94,0.39,-0.25,,,,,,
Sexual orientation,Original,26.74,-1.25,-1.49,,,,,,
Sexual orientation,Ours,33.45,0.45,0.33,,,,,,
,,,,,,,,,,
Table_10,,,,,,,,,,
Table 10: Inference Efficiency Comparison after Using Distilled Adapter,,,,,,,,,,
Category,Original Method (s),Ours (s),Reduced Time (s) (lower is better),Reduction (%) (lower is better),,,,,,
Age,4811.23,725.68,4085.55,84.92,,,,,,
Disability status,2813.2,350.48,2462.72,87.54,,,,,,
Gender identity,7190.26,1264.46,5925.8,82.41,,,,,,
Nationality,4405.24,694.1,3711.14,84.24,,,,,,
Physical appearance,1434.93,350.55,1084.38,75.57,,,,,,
Race/ethnicity,5380.77,1182.55,4198.22,78.02,,,,,,
Religion,1472.86,224.33,1248.53,84.77,,,,,,
SES,8268.33,1480.39,6787.94,82.09,,,,,,
Sexual orientation,1686.95,275.4,1411.55,83.67,,,,,,
,,,,,,,,,,
Table_11,,,,,,,,,,
Table 11: Overall Average Results Summary across Settings,,,,,,,,,,
Setting,#Attributes,Avg ACC (Original),Avg |S_AMB| (Original),Avg |S_DIS| (Original),Avg ACC (Ours),Avg |S_AMB| (Ours),Avg |S_DIS| (Ours),,,
Adapter+Regularization,9,32.51,1.39,1.46,30.46,2.3,2.13,,,
Contrastive Steering,9,32.51,1.39,1.46,33.26,1.55,2.08,,,
Dynamic Gating,9,32.51,1.39,1.46,31.11,1.86,2.25,,,
Full Scheme,9,32.51,1.39,1.46,32.86,0.87,0.51,,,
